Date,CPIAUCSL
1/1/1976,55.8
2/1/1976,55.9
3/1/1976,56
4/1/1976,56.1
5/1/1976,56.4
6/1/1976,56.7
7/1/1976,57
8/1/1976,57.3
9/1/1976,57.6
10/1/1976,57.9
11/1/1976,58.1
12/1/1976,58.4
1/1/1977,58.7
2/1/1977,59.3
3/1/1977,59.6
4/1/1977,60
5/1/1977,60.2
6/1/1977,60.5
7/1/1977,60.8
8/1/1977,61.1
9/1/1977,61.3
10/1/1977,61.6
11/1/1977,62
12/1/1977,62.3
1/1/1978,62.7
2/1/1978,63
3/1/1978,63.4
4/1/1978,63.9
5/1/1978,64.5
6/1/1978,65
7/1/1978,65.5
8/1/1978,65.9
9/1/1978,66.5
10/1/1978,67.1
11/1/1978,67.5
12/1/1978,67.9
1/1/1979,68.5
2/1/1979,69.2
3/1/1979,69.9
4/1/1979,70.6
5/1/1979,71.4
6/1/1979,72.2
7/1/1979,73
8/1/1979,73.7
9/1/1979,74.4
10/1/1979,75.2
11/1/1979,76
12/1/1979,76.9
1/1/1980,78
2/1/1980,79
3/1/1980,80.1
4/1/1980,80.9
5/1/1980,81.7
6/1/1980,82.5
7/1/1980,82.6
8/1/1980,83.2
9/1/1980,83.9
10/1/1980,84.7
11/1/1980,85.6
12/1/1980,86.4
1/1/1981,87.2
2/1/1981,88
3/1/1981,88.6
4/1/1981,89.1
5/1/1981,89.7
6/1/1981,90.5
7/1/1981,91.5
8/1/1981,92.2
9/1/1981,93.1
10/1/1981,93.4
11/1/1981,93.8
12/1/1981,94.1
1/1/1982,94.4
2/1/1982,94.7
3/1/1982,94.7
4/1/1982,95
5/1/1982,95.9
6/1/1982,97
7/1/1982,97.5
8/1/1982,97.7
9/1/1982,97.7
10/1/1982,98.1
11/1/1982,98
12/1/1982,97.7
1/1/1983,97.9
2/1/1983,98
3/1/1983,98.1
4/1/1983,98.8
5/1/1983,99.2
6/1/1983,99.4
7/1/1983,99.8
8/1/1983,100.1
9/1/1983,100.4
10/1/1983,100.8
11/1/1983,101.1
12/1/1983,101.4
1/1/1984,102.1
2/1/1984,102.6
3/1/1984,102.9
4/1/1984,103.3
5/1/1984,103.5
6/1/1984,103.7
7/1/1984,104.1
8/1/1984,104.4
9/1/1984,104.7
10/1/1984,105.1
11/1/1984,105.3
12/1/1984,105.5
1/1/1985,105.7
2/1/1985,106.3
3/1/1985,106.8
4/1/1985,107
5/1/1985,107.2
6/1/1985,107.5
7/1/1985,107.7
8/1/1985,107.9
9/1/1985,108.1
10/1/1985,108.5
11/1/1985,109
12/1/1985,109.5
1/1/1986,109.9
2/1/1986,109.7
3/1/1986,109.1
4/1/1986,108.7
5/1/1986,109
6/1/1986,109.4
7/1/1986,109.5
8/1/1986,109.6
9/1/1986,110
10/1/1986,110.2
11/1/1986,110.4
12/1/1986,110.8
1/1/1987,111.4
2/1/1987,111.8
3/1/1987,112.2
4/1/1987,112.7
5/1/1987,113
6/1/1987,113.5
7/1/1987,113.8
8/1/1987,114.3
9/1/1987,114.7
10/1/1987,115
11/1/1987,115.4
12/1/1987,115.6
1/1/1988,116
2/1/1988,116.2
3/1/1988,116.5
4/1/1988,117.2
5/1/1988,117.5
6/1/1988,118
7/1/1988,118.5
8/1/1988,119
9/1/1988,119.5
10/1/1988,119.9
11/1/1988,120.3
12/1/1988,120.7
1/1/1989,121.2
2/1/1989,121.6
3/1/1989,122.2
4/1/1989,123.1
5/1/1989,123.7
6/1/1989,124.1
7/1/1989,124.5
8/1/1989,124.5
9/1/1989,124.8
10/1/1989,125.4
11/1/1989,125.9
12/1/1989,126.3
1/1/1990,127.5
2/1/1990,128
3/1/1990,128.6
4/1/1990,128.9
5/1/1990,129.1
6/1/1990,129.9
7/1/1990,130.5
8/1/1990,131.6
9/1/1990,132.5
10/1/1990,133.4
11/1/1990,133.7
12/1/1990,134.2
1/1/1991,134.7
2/1/1991,134.8
3/1/1991,134.8
4/1/1991,135.1
5/1/1991,135.6
6/1/1991,136
7/1/1991,136.2
8/1/1991,136.6
9/1/1991,137
10/1/1991,137.2
11/1/1991,137.8
12/1/1991,138.2
1/1/1992,138.3
2/1/1992,138.6
3/1/1992,139.1
4/1/1992,139.4
5/1/1992,139.7
6/1/1992,140.1
7/1/1992,140.5
8/1/1992,140.8
9/1/1992,141.1
10/1/1992,141.7
