SOC_CODE,OCCUPATION,ABI01,ABI02,ABI03,ABI04,ABI05,ABI06,ABI07,ABI08,ABI09,ABI10,ABI11,ABI12,ABI13,ABI14,ABI15,ABI16,ACT01,ACT02,ACT03,ACT04,ACT05,ACT06,ACT07,ACT08,ACT09,KNO01,KNO02,KNO03,KNO04,KNO05,KNO06,KNO07,KNO08,KNO09,KNO10,KNO11,SKI01,SKI02,SKI03,SKI04,SKI05,SKI06,SKI07,SKI08,SKI09,ABILITY_DOMAIN_SCORE,SKILL_DOMAIN_SCORE,ACTIVITY_DOMAIN_SCORE,KNOWLEDGE_DOMAIN_SCORE,SCALAR_EQUAL_SUBDOMAIN,SCALAR_EQUAL_DOMAIN,SCALAR_ABILITY_SKILL,ABILITY_DOMAIN_SCORE_Z,SKILL_DOMAIN_SCORE_Z,ACTIVITY_DOMAIN_SCORE_Z,KNOWLEDGE_DOMAIN_SCORE_Z,SCALAR_EQUAL_SUBDOMAIN_Z,SCALAR_EQUAL_DOMAIN_Z,SCALAR_ABILITY_SKILL_Z,FACTOR_01,FACTOR_02,FACTOR_03,FACTOR_04,FACTOR_05,FACTOR_06,FACTOR_07,FACTOR_08
111011.00,Chief Executives,1.6437660966569,1.62397176299739,1.08368874479707,1.26865542219615,1.00937586296169,0.0586326861548742,0.327580693573563,-1.56141245554478,-0.650642888048897,-1.03466864209675,-1.31749592648957,-1.22408209555045,-1.1414938486166,-0.482668548954121,-0.363873064618774,1.84510825757574,0.891937119990444,0.574515690396701,1.99257263994833,1.90287231302273,-0.723946452606288,-0.789629533785099,2.23610260830428,2.49321238594845,2.29006041281837,2.74057404524502,0.294077778299722,0.302075056897876,0.906909495996348,-0.140787162622629,0.72526655527915,1.59193519873348,1.71432200143557,1.06278854103076,0.197441946653339,-0.41474331275268,1.3015536843115,0.451371594284283,1.51495611330147,2.26080633119437,2.31855170997211,0.129581060383311,-0.735747452452611,3.01440450000132,4.49246280018307,0.0677776285620904,1.63866003790876,1.20752190933755,0.816350922199633,0.792887549475692,0.932577624502007,0.853218833235425,0.140873730730255,2.36798775817297,1.85932659290441,1.66629113799411,1.85564910979191,2.05668308852101,1.80917182904675,-0.965448808362022,3.36632607541164,0.526065562724626,0.0702618109885406,0.544583090783082,0.829418412221227,1.13656331989716,0.987661383666735
111011.03,Chief Sustainability Officers,0.871278073576325,1.12697738581908,0.431362298391673,-0.123691489639837,-0.721421960540921,-0.617099913491708,0.167200100545092,-1.58213680546657,-1.07493514845481,-1.4263964205815,-1.42752756031281,-1.22408209555045,-1.1414938486166,-1.03521771463024,-0.849206416298036,1.54508585096259,1.47331908048531,-0.1660006570551,0.976442635974952,1.64955177841856,-1.29872032347647,-0.51606771823534,1.87996032254947,1.65843101624891,1.44742732397112,1.25231888378349,-0.352370479577972,0.842570674592003,1.40286217792945,-0.289321124838045,0.55895887201153,1.20891930351811,0.789704940137269,0.842085527288334,1.36331447180582,1.1963667423276,1.10969766186893,0.413368192815914,1.30327997232707,1.48540728752292,1.56421248655856,0.187123420113098,-0.831860110611017,1.96625520467493,1.32462056728474,-0.442581604018046,0.946900520283905,0.789371495431267,0.801400908088873,0.385790054802787,0.5237728299465,0.25215945813293,-0.919892345502857,1.36834290723379,1.21546400258797,1.63577598164624,0.902890923479322,1.15511534190304,0.534680870031748,-1.27103307287596,1.9127528822631,1.25761072624371,0.150483853498402,-0.378163107453521,0.425899130895575,0.543743344784518,0.599096555571133
111021.00,General and Operations Managers,0.821956827751489,0.646635295269374,0.540864907180968,-0.485701686717194,-0.850946936966195,-0.119697161158007,-0.202838618952167,-1.27716947552023,-1.18735327285852,-0.614640320392025,-0.661011132053249,-0.35697636124536,-0.68033649758173,-0.91662538974739,-0.756108156076029,0.869503698485159,0.521966781493712,0.378613422237,1.09174901184191,0.932233441167979,-0.839926864054411,0.0503909769406894,1.01041479744774,1.47268865536246,1.94692802837937,1.82432104320822,1.36320374325129,0.288803324887293,-0.139850608233869,-0.484046701674299,-0.378411706405966,-0.433698636142729,0.0650480836974651,-0.234324235743359,0.128861209879664,-0.102915560156496,0.852850171472707,-0.226857237612788,1.08424551502481,1.45925427259598,0.809873263145014,-0.317612291597701,-0.611288846255451,0.825768572242082,2.54550955473034,-0.326902767536319,0.713526997082776,0.729450916757383,0.172453632415201,0.214518820012168,0.32213219467976,0.193312114773229,-0.67945741723169,1.03110050598061,1.12319907179951,0.352002982533622,0.502053106587965,0.710422188629935,0.409900506925023,-0.754191493184872,2.31805072759451,-0.144035968357477,-0.174625254683043,-0.700162094467119,0.255469580083823,0.599001250393142,-0.0053063568776033
112011.00,Advertising and Promotions Managers,0.909482600233624,0.769071079678303,0.641944238371086,0.2104717692008,0.376746532882177,-0.0216868977457691,-0.202838618952167,-1.35533547868858,-1.33339170404117,-0.89793682839205,-1.32278092837705,-1.22408209555045,-1.1414938486166,-0.401106012954467,-1.25655194567273,1.37722119918266,0.257702253996047,-1.35637261103579,-0.739629135851542,0.49980423343423,-0.966977332433485,-0.834921945668705,0.570785162631413,-0.566804003186014,0.0228777442270838,1.93412722243632,0.132465713830299,-0.253713099477059,-0.198207046956377,-0.26701708674077,-0.15162850195012,0.983306134963873,-0.412164386565671,2.05124222579095,-0.227758621343447,-0.587980953083893,0.906323897917334,0.21231008612851,0.421479706311105,1.04567989737422,0.571660876803893,-0.161108462068454,-1.14222123271847,0.925978371677405,1.59833738958625,-0.30451668371515,0.486493392334644,-0.345948403765196,0.272970145536737,-0.0134375653647391,0.0272496125977587,0.0909883543097471,-0.632928625781877,0.703019766656822,-0.532686870457152,0.557171826570923,-0.0314488557971903,0.060095605905714,0.192932411916296,-1.33377221811453,1.28624007400559,0.0629326386354696,-0.286429645578106,0.243476752021805,0.17711629931721,-1.05651200813357,0.255472273134627
112021.00,Marketing Managers,0.772635581926652,0.750423557891276,0.974186136007779,0.544635028041438,0.263228549102193,-0.319393405618739,-0.202838618952167,-1.53648328446467,-1.36889216437918,-1.00698404582797,-1.15601153558861,-1.22408209555045,-1.1414938486166,-0.563953131816732,-1.04473227039789,0.713492047046323,0.284128706745813,-0.212207810120167,-0.464161366950018,1.11152625139372,-1.43300487715908,-1.04151618286699,1.41742868245883,1.02138820649793,-0.0374951057337831,1.84485917709283,-0.0167146533722464,0.0834768730701047,-0.368423833076003,-0.431823333510164,-0.0155585792766131,0.641508694064957,0.0991756004615347,2.02340526965055,-0.598094599921294,-0.449390840818922,0.558481674917746,0.055358561929302,1.09939291555776,1.37139208299611,0.809873263145014,0.274691694329667,-1.10916014436945,1.24187779232939,1.82481649095282,-0.346641468824834,0.680747147976482,0.071787389362918,0.255674524942248,0.0897548246493776,0.165391898364204,0.167052839575824,-0.720483704950444,0.983731143451019,0.110537292156366,0.521868945739905,0.210059371685534,0.364751106403274,0.354220136206786,-1.2747915888198,1.74561108375187,0.219134858389333,-0.0902449890237569,0.302232504341706,0.082898142915116,-0.603688749660801,-0.101440783996291
112022.00,Sales Managers,0.821956827751489,0.876488083830953,0.540864907180968,1.26865542219615,0.14971056532221,-0.715110176903946,-0.758270654589647,-1.5136971048198,-1.18345482438415,-1.00698404582797,-1.20930541044664,-1.22408209555045,-1.1414938486166,-1.30997761862976,-1.2506877015344,0.895345419807917,0.178422895746747,-0.846677074011078,0.875501072536705,1.12833910725512,-1.51586981638001,-1.10812275105615,2.06695944867619,2.60777554567731,1.33439691612383,2.00517552218192,-0.464255754979881,-0.618180130679107,-0.708795099240467,-0.634945477777109,0.241462385773346,-0.240907162316331,-0.866028544267828,0.505788273062693,-0.227758621343447,-0.397419548719559,0.845403608429224,0.21231008612851,1.12462827194389,2.12721264289185,1.06793668168123,-0.47466827893453,-0.948869381092475,1.64465332477207,2.48974435602146,-0.422502640950855,0.898705701315693,0.524525038285407,-0.127805832573252,0.103181560953121,0.218230566519248,0.238101530182419,-0.878158834070262,1.29869774674661,0.807656858883246,-0.260870319870466,0.241482883488598,0.48128016774815,0.504872330613566,-1.09816869949789,2.58810861188274,-0.174771177472483,-0.705897499778973,-0.0106049131869948,0.361662918449088,0.229727715076267,-0.871054190043071
112033.00,Fundraising Managers,0.858254397438366,0.451534528490547,0.656446190404255,0.544635028041438,-1.10193091239591,-1.11861893716474,0.327580693573563,-1.84792191613386,-1.33339170404117,-0.587571671074435,-0.66098835911075,-1.22408209555045,-1.1414938486166,-1.25011066639162,-0.544288480801188,1.05135707124675,0.310555159495579,-1.72497861811211,0.0944873318738691,0.391717266697451,-1.08728242960453,-1.25531888133072,0.745145694846283,-0.146457450638048,0.461319318063782,2.45740677357599,-0.762616489384971,-1.30166155003599,-0.757097769018848,-0.69154424434307,-0.831978115317657,1.06221140150467,-1.02653924686757,0.547162000729615,-1.06444360998229,-0.484038368885165,1.01776842645078,-0.0213875605171004,0.284199164954504,1.51853170141555,0.809873263145014,-0.657096014290535,-1.08351362224514,0.85153110094114,1.89508706285955,-0.432536917630362,0.512777058079307,-0.24564584541205,-0.259376292547754,-0.163767755246795,-0.106195499377715,0.0401200702244725,-0.899014771656317,0.741001652638922,-0.378242290495316,-0.529424792604569,-0.383276909111878,-0.234200866403823,0.0850709079571679,-1.14675338964903,1.63876634464604,-0.310334133163668,-1.05328016492188,-0.0647960369324009,0.113934608138046,-0.728922958943927,-0.58720758856911
113012.00,Administrative Services Managers,0.772635581926652,0.0206265619153658,0.196646632777151,0.544635028041438,-0.496449949029521,0.0351102229359371,1.05284100510176,-0.398630000321302,-0.484956819058173,-1.08888427733911,-0.544341238867021,-0.692630193879589,-0.543078218192337,-0.249459979392669,-0.163512947781846,0.557480395607487,1.05049583648905,0.171503678299235,0.297168458274004,0.766111162494175,0.236608889539103,0.40939390471707,0.720570685517027,1.07838258630532,1.99145571259014,1.69966294604303,0.51784832910354,0.104204378108248,-0.617888292382312,-0.0750105531648729,-0.302817304920684,-0.200409619533296,0.765075851895737,0.553498687961151,-0.241474768698183,-0.189534380322103,0.891763127809336,-0.896475900285508,0.294810274884594,0.995389530877552,0.0753850719265572,-0.275373608126119,-0.635198923984629,0.311010314720116,2.43790858439773,-0.0926230122222361,0.355468719135514,0.746854546025013,0.183014115826387,0.232268810332872,0.298178592191169,0.131422853456639,-0.192514101777214,0.513679198768129,1.14999695468687,0.373558467365534,0.543594626264002,0.657595519993372,0.278670037398348,-0.583211562181891,1.83324446869186,-0.402924011248073,0.0499066034215559,-0.290081478607748,-1.00660882105955,0.695663789412105,0.624398242074469
113013.00,Facilities Managers,0.259922929792361,0.306639161047459,0.180936184741218,0.2104717692008,-0.109725179833993,0.720300959415452,-0.433105254136901,-0.074916722086399,0.0541382433060129,-0.04399326819216,0.353816354118359,0.342302456742615,0.297377806239327,0.567909287918132,0.135991839279616,0.413469640433177,0.521966781493712,1.53688908049701,0.990838804848755,1.37952407146265,0.679386188251152,1.71996019454327,0.828615936955855,1.22771561753969,1.80388401166233,1.56175508849156,0.207055897431571,1.04556044687932,1.07457505229056,0.629103922765033,0.347294547852741,0.0721131741079585,0.812862331220299,0.877088457049376,1.198720703549,0.243559720505931,0.421823096593718,-0.102545253371786,0.561574927559112,0.882102517140568,0.333448490462771,0.314804010726255,0.466934306644889,0.584835582038926,1.64849386189092,0.198846012999067,0.567941282187264,1.18764229858382,0.733608122013032,0.601143950601516,0.672009428945797,0.383393647593166,0.413295364359847,0.820718130953398,1.82871622580038,1.49740103089133,1.40689841520168,1.48203258530626,0.8129508628294,0.225866331237732,1.39167836271071,0.676109638602708,0.882067613379734,-0.34498193506456,-0.245411901060695,1.31716130439303,1.14631063389413
113013.01,Security Managers,1.08792525463774,1.72895971892848,0.321859689602379,0.906645225118795,2.00635329443247,0.910539067043251,2.41608874404839,-0.659461305658553,-0.0939659208347541,0.646261023309816,0.384238017700167,0.524114949419488,0.0962141880895885,1.25926332719298,1.32614430860042,1.23321044400835,0.601246139743013,0.648605390235803,1.20597822638349,1.16514252480379,-0.0843706489337028,0.774799383856884,1.60682147044055,2.12246017338926,2.02752421425406,1.30423458898848,-0.153463323307912,0.525240066222741,0.259190347553408,0.416970556540734,0.921811999140883,0.814052194058654,3.11802894339583,2.03680912055011,0.526629483166981,-0.0509442680571318,1.08256408791421,-0.417400592872081,1.49402408410806,1.59832873752168,1.56421248655856,0.209896911272408,-0.19182135762545,1.45264302767827,2.89376741699249,0.880899376602438,1.07624608906091,1.11868965268591,0.88350542802298,0.968163809102513,0.989835136593057,0.978572732831672,1.83092244760761,1.55525704216854,1.72254383490815,1.80336326578482,2.26586016097974,2.1829573564366,2.07497320962658,0.0861488971296329,2.31590393276881,0.617668159560975,0.244722027111756,1.91829619936365,-0.260473501007848,0.99807876201765,1.89830698995721
